,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,distance,year,Month,Date,Day,Hour,Minute
52,8.0,2013-01-23 07:01:38,-73.980298,40.783722999999995,-73.979628,40.763179,1.0,2.2850851781332935,2013,1,23,2,7,1
53,7.5,2013-09-07 03:17:00,-73.97770799999999,40.746212,-73.975782,40.745055,1.0,0.20706795316140328,2013,9,7,5,3,17
55,15.3,2012-01-04 18:07:29,-73.97151,40.755886,-73.968067,40.801173,1.0,5.044022662879789,2012,1,4,2,18,7
57,9.7,2011-03-19 21:55:00,-73.97954200000001,40.727498,-73.999315,40.730088,4.0,1.6908636071084127,2011,3,19,5,21,55
58,13.7,2012-07-19 23:53:14,-74.002113,40.739582,-73.971918,40.791899,2.0,6.348900587936951,2012,7,19,3,23,53
59,6.5,2009-03-23 12:13:29,-73.98543000000001,40.736011,-73.982501,40.724802000000004,1.0,1.2705845555469024,2009,3,23,0,12,13
60,5.0,2014-07-16 10:57:00,-73.996148,40.741890000000005,-73.992202,40.739425,6.0,0.4308707701272411,2014,7,16,2,10,57
61,4.5,2011-04-22 23:21:03,-74.009137,40.713436,-74.00282299999999,40.723428000000006,3.0,1.2319144000403497,2011,4,22,4,23,21
62,4.9,2012-01-02 14:54:00,-74.003985,40.731677000000005,-73.999765,40.723512,1.0,0.9750624506614527,2012,1,2,0,14,54
63,7.0,2014-05-01 09:12:00,-73.96620300000001,40.7675,-73.980915,40.77424,6.0,1.447957969445467,2014,5,1,3,9,12
65,7.5,2012-10-07 17:59:08,-74.004736,40.715882,-74.017723,40.705141,1.0,1.6200915601081411,2012,10,7,6,17,59
66,8.5,2014-01-17 09:03:00,-73.991467,40.750575,-73.98575,40.741547,4.0,1.1134191737199766,2014,1,17,4,9,3
67,16.5,2014-04-29 18:28:00,-73.970323,40.750840000000004,-73.99839200000001,40.724862,6.0,3.733208436637001,2014,4,29,1,18,28
68,11.5,2015-04-12 10:19:05,-73.97927856,40.72343826,-74.00460815,40.74694824,6.0,3.374713013900133,2015,4,12,6,10,19
70,6.9,2009-08-02 02:34:11,-73.99578100000001,40.723411,-74.005004,40.71895,2.0,0.9220554508793151,2009,8,2,6,2,34
71,3.7,2010-01-31 10:53:00,-74.00163,40.730767,-73.997112,40.737533,1.0,0.8431704544879737,2010,1,31,6,10,53
72,6.9,2010-05-14 08:09:00,-73.955118,40.768941999999996,-73.963495,40.761887,2.0,1.0550495226383407,2010,5,14,4,8,9
73,10.1,2012-05-21 15:20:00,-73.977788,40.771838,-73.9662,40.778113,2.0,1.199579684063589,2012,5,21,0,15,20
74,16.5,2014-12-08 16:00:01,-73.9828,40.745287,-74.01425,40.702935,1.0,5.403872524010356,2014,12,8,0,16,0
75,15.07,2010-08-16 01:33:00,-73.961933,40.795584999999996,-73.962253,40.764817,2.0,3.421351597768989,2010,8,16,0,1,33
76,7.7,2010-12-04 14:26:13,-73.996601,40.736569,-73.982152,40.744322,1.0,1.4916690263234078,2010,12,4,5,14,26
78,7.0,2013-02-06 22:16:00,-73.988425,40.764342,-74.001642,40.745752,2.0,2.347840176728829,2013,2,6,2,22,16
79,8.5,2014-06-11 22:24:21,-73.994128,40.735087,-73.986393,40.751461,1.0,1.9338062764603599,2014,6,11,2,22,24
80,5.7,2010-08-19 16:33:00,-73.97383,40.763717,-73.98942,40.771522,1.0,1.5738326916892977,2010,8,19,3,16,33
81,5.0,2013-03-10 15:44:00,-74.01335999999999,40.702272,-74.01699,40.709245,1.0,0.8335546963202958,2013,3,10,6,15,44
83,17.0,2013-07-08 21:24:00,-74.00972800000001,40.705166999999996,-73.970897,40.749307,1.0,5.89887998050636,2013,7,8,0,21,24
84,8.0,2014-03-21 11:00:29,-73.950688,40.828531,-73.964101,40.80814,1.0,2.532782695005201,2014,3,21,4,11,0
85,12.0,2014-10-02 13:39:56,-73.995387,40.749482,-73.975789,40.748740999999995,1.0,1.6529611518586145,2014,10,2,3,13,39
86,12.5,2011-08-31 08:21:47,-73.917399,40.746485,-73.97375600000001,40.763836,1.0,5.124095164795088,2011,8,31,2,8,21
87,7.5,2014-05-19 06:26:00,-73.990815,40.730495,-73.978337,40.751084999999996,1.0,2.519319995574576,2014,5,19,0,6,26
88,6.9,2012-04-05 05:50:00,-74.00744300000001,40.732547,-73.991112,40.742312,5.0,1.752773402390474,2012,4,5,3,5,50
89,5.0,2015-03-04 14:55:40,-73.98874664,40.74495316,-73.99568176,40.74422073,2.0,0.5898930668238032,2015,3,4,2,14,55
90,10.5,2010-04-27 21:40:07,-74.00113499999999,40.730979,-73.984424,40.76463,1.0,3.9978675349177752,2010,4,27,1,21,40
91,7.7,2011-02-22 11:09:16,-73.96888100000001,40.764533,-73.985311,40.748956,1.0,2.217033174787161,2011,2,22,1,11,9
92,11.0,2015-04-03 16:21:30,-73.98105621,40.77426529,-73.95904541,40.78067398,2.0,1.9856444824607877,2015,4,3,4,16,21
93,5.7,2009-01-09 15:01:20,-73.99282600000001,40.751271,-73.982786,40.742432,1.0,1.2966678329865426,2009,1,9,4,15,1
94,9.0,2013-01-09 14:42:00,-73.946852,40.775802,-73.96434,40.760703,1.0,2.2333323007179713,2013,1,9,2,14,42
95,13.5,2013-07-06 17:18:00,-73.950655,40.783282,-73.984365,40.769802,1.0,3.209961648240229,2013,7,6,5,17,18
96,7.5,2013-10-08 17:29:00,-73.976512,40.765277000000005,-73.977672,40.778052,1.0,1.4238698919243138,2013,10,8,1,17,29
98,14.0,2015-05-17 08:02:59,-73.9792099,40.723682399999994,-74.01746368,40.71139526,1.0,3.5015247004429124,2015,5,17,6,8,2
99,5.7,2011-06-09 00:53:00,-73.983052,40.722588,-73.988022,40.733738,3.0,1.3086455891376316,2011,6,9,3,0,53
100,10.0,2014-11-12 12:40:29,-74.002581,40.739571999999995,-73.99458,40.760682,1.0,2.4421682845548975,2014,11,12,2,12,40
101,5.7,2010-06-04 14:49:00,-73.993452,40.761447,-73.979662,40.759617999999996,5.0,1.1791210810112767,2010,6,4,4,14,49
102,9.7,2010-11-08 20:42:00,-73.97070500000001,40.761643,-73.99283299999999,40.727647,2.0,4.214837438666019,2010,11,8,0,20,42
103,14.1,2011-03-09 07:24:34,-73.974492,40.751369,-74.01058499999999,40.703364,1.0,6.143574665433156,2011,3,9,2,7,24
104,7.7,2011-08-04 10:38:00,-73.991607,40.76318,-73.982718,40.76239,2.0,0.7537781988876232,2011,8,4,3,10,38
106,11.3,2010-03-22 10:01:00,-74.00766999999999,40.732177,-73.974663,40.758932,1.0,4.072165564533739,2010,3,22,0,10,1
107,8.5,2012-03-25 09:22:45,-73.986681,40.725659,-73.977068,40.754504,1.0,3.3080897023078455,2012,3,25,6,9,22
108,12.9,2012-06-05 09:16:00,-73.965315,40.790852,-73.978195,40.766375,6.0,2.9298315626188494,2012,6,5,1,9,16
109,9.5,2012-11-06 11:33:14,-73.972195,40.765883,-73.96794200000001,40.761951,1.0,0.5652058141440225,2012,11,6,1,11,33
110,9.0,2014-05-22 18:30:00,-73.982272,40.748357,-73.969325,40.763877,1.0,2.041429123823726,2014,5,22,3,18,30
111,10.0,2014-10-17 08:28:00,-73.99179699999999,40.735262,-73.975915,40.748697,6.0,2.0055036165835527,2014,10,17,4,8,28
113,9.0,2012-12-06 18:05:00,-73.96083,40.77308,-73.978372,40.774907,1.0,1.4910631890236494,2012,12,6,3,18,5
114,17.0,2014-07-20 12:48:35,-73.97339000000001,40.743883000000004,-73.954021,40.766063,1.0,2.957085231515199,2014,7,20,6,12,48
115,6.1,2009-01-25 18:41:00,-74.00012199999999,40.74308,-74.00615,40.734233,5.0,1.1071038144918404,2009,1,25,6,18,41
116,14.5,2010-03-27 02:26:39,-73.961598,40.716487,-73.960417,40.674963,2.0,4.618331513060448,2010,3,27,5,2,26
117,3.7,2011-01-05 17:39:00,-73.966957,40.761268,-73.967912,40.765535,1.0,0.4812376331295753,2011,1,5,2,17,39
119,5.3,2010-01-03 10:20:12,-73.995083,40.739527,-73.999599,40.726264,3.0,1.5230764472343288,2010,1,3,6,10,20
120,11.5,2012-11-08 21:00:00,-73.972018,40.750142,-74.006008,40.73622,5.0,3.2551860279105167,2012,11,8,3,21,0
121,4.0,2013-11-23 23:34:03,-73.993701,40.741569,-73.987999,40.748834,1.0,0.9398581000576552,2013,11,23,5,23,34
122,10.5,2010-06-17 16:12:58,-73.966473,40.7575,-73.993336,40.745051000000004,1.0,2.652653406512595,2010,6,17,3,16,12
125,5.0,2013-05-10 16:39:08,-73.971696,40.763378,-73.962035,40.776598,1.0,1.680116503952808,2013,5,10,4,16,39
127,8.0,2014-01-06 21:21:00,-73.98849200000001,40.717977000000005,-73.97818000000001,40.737407,1.0,2.3287131285195315,2014,1,6,0,21,21
128,7.3,2010-09-30 08:38:00,-73.986588,40.72165,-74.00800500000001,40.717166999999996,2.0,1.872512724354345,2010,9,30,3,8,38
129,6.5,2012-10-06 15:47:00,-73.98213,40.774807,-73.97358299999999,40.789645,5.0,1.8000189804469713,2012,10,6,5,15,47
130,8.0,2013-02-11 00:13:00,-74.002843,40.733692,-73.987882,40.728590000000004,1.0,1.3824048627336758,2013,2,11,0,0,13
131,16.5,2014-09-12 23:10:00,-73.983837,40.676052,-74.002522,40.723145,1.0,5.468282531723621,2014,9,12,4,23,10
135,11.5,2012-12-21 06:47:00,-73.94747199999999,40.771227,-73.981832,40.760272,1.0,3.1396541553622552,2012,12,21,4,6,47
136,12.5,2014-11-01 16:51:09,-73.984723,40.748022999999996,-73.977245,40.757891,2.0,1.2652184561371296,2014,11,1,5,16,51
137,5.5,2013-01-26 18:36:00,-73.950305,40.785607,-73.943587,40.789532,1.0,0.7144007760008003,2013,1,26,5,18,36
138,6.5,2013-05-20 11:03:50,-73.980735,40.747911,-73.97053000000001,40.761998,1.0,1.7867549417072968,2013,5,20,0,11,3
139,16.5,2015-05-31 07:33:18,-73.99698639,40.75542831,-73.95319366,40.80210114,3.0,6.366370156756805,2015,5,31,6,7,33
140,9.0,2015-02-15 22:41:32,-74.00344849,40.73310089,-74.00800323,40.70721436,1.0,2.903931991729314,2015,2,15,6,22,41
141,8.9,2009-06-25 10:29:00,-73.9578,40.768003,-73.981712,40.763391999999996,1.0,2.0780536787942516,2009,6,25,3,10,29
142,10.9,2009-07-23 17:05:10,-73.983735,40.746697,-73.954411,40.772219,1.0,3.7621550615513963,2009,7,23,3,17,5
143,8.9,2011-03-19 15:00:27,-73.98103,40.729782,-73.993011,40.752803,1.0,2.75163927185832,2011,3,19,5,15,0
144,8.5,2011-05-06 11:37:14,-73.963115,40.774034,-73.975251,40.760822999999995,1.0,1.7895555699160788,2011,5,6,4,11,37
145,17.0,2013-02-08 09:50:04,-73.962458,40.759027,-73.986199,40.753397,1.0,2.095395397483135,2013,2,8,4,9,50
146,12.5,2010-08-24 01:39:26,-74.003848,40.720855,-73.98098,40.668304,1.0,6.153238870237476,2010,8,24,1,1,39
149,8.0,2015-04-19 22:21:12,-73.98548889,40.74728012,-74.00767517,40.74076843,1.0,2.004430281906794,2015,4,19,6,22,21
151,5.7,2011-10-26 03:37:00,-74.00844000000001,40.711253,-74.001313,40.731078000000004,1.0,2.28479706714691,2011,10,26,2,3,37
152,5.5,2015-04-18 09:30:31,-73.98091125,40.74206543,-73.97698975,40.75165558,1.0,1.1163738607956288,2015,4,18,5,9,30
154,12.9,2009-07-16 20:33:00,-73.980755,40.680558000000005,-73.98911,40.726788,2.0,5.188563930001422,2009,7,16,3,20,33
155,10.1,2011-05-16 13:10:38,-73.99124499999999,40.739058,-73.992972,40.76768,1.0,3.185944025345043,2011,5,16,0,13,10
156,9.5,2013-08-09 21:19:00,-73.992583,40.730416999999996,-74.005352,40.740247,1.0,1.5336994445845826,2013,8,9,4,21,19
157,4.5,2010-03-14 15:40:00,-73.979872,40.749027000000005,-73.97655300000001,40.757498,5.0,0.9825455640468613,2010,3,14,6,15,40
158,6.5,2011-04-27 13:19:48,-73.971541,40.764009,-73.975937,40.755971,1.0,0.9674387683927753,2011,4,27,2,13,19
160,8.0,2014-11-04 12:11:19,-73.975189,40.759095,-73.98051,40.76761,1.0,1.047522819897835,2014,11,4,1,12,11
161,4.9,2009-12-27 21:07:39,-74.00301800000001,40.739779999999996,-73.99153299999999,40.733090999999995,1.0,1.2204859380760391,2009,12,27,6,21,7
162,5.7,2010-07-04 13:07:47,-73.991037,40.750049,-73.980438,40.75193,2.0,0.9169908491997946,2010,7,4,6,13,7
163,15.3,2011-06-12 13:33:00,-73.949477,40.768018,-74.003118,40.733022,5.0,5.9632239793543915,2011,6,12,6,13,33
164,14.9,2012-08-28 12:29:40,-73.992214,40.758864,-73.9938,40.722718,1.0,4.021472269338425,2012,8,28,1,12,29
165,7.0,2012-11-11 18:23:00,-73.999998,40.727087,-73.992448,40.735602,1.0,1.140697278041575,2012,11,11,6,18,23
167,8.5,2014-08-13 08:26:00,-73.954598,40.78676,-73.966013,40.768112,1.0,2.2855014196322445,2014,8,13,2,8,26
169,4.1,2011-01-21 18:43:46,-73.982279,40.768364,-73.985968,40.762939,1.0,0.6785356160538802,2011,1,21,4,18,43
170,11.7,2011-02-26 20:27:36,-73.98149599999999,40.781003999999996,-73.99592,40.738813,1.0,4.846168791810133,2011,2,26,5,20,27
172,5.7,2009-06-06 23:56:00,-73.982357,40.762498,-73.97321,40.755345,2.0,1.1073237119110546,2009,6,6,5,23,56
173,5.3,2009-01-24 09:51:00,-73.96706999999999,40.769178000000004,-73.954895,40.778209999999994,1.0,1.435175679418602,2009,1,24,5,9,51
175,4.9,2009-03-25 14:48:49,-73.982095,40.774001,-73.975373,40.787110999999996,1.0,1.5637830505045713,2009,3,25,2,14,48
176,6.5,2010-09-10 18:45:00,-73.98353,40.766992,-73.986255,40.779708,4.0,1.4324533547136085,2010,9,10,4,18,45
177,11.3,2011-08-31 13:47:02,-73.981154,40.729203999999996,-74.007407,40.748509999999996,2.0,3.082328164256556,2011,8,31,2,13,47
178,11.5,2013-04-12 04:39:51,-73.963511,40.761732,-73.917488,40.739776,1.0,4.581494565886519,2013,4,12,4,4,39
179,5.3,2009-05-29 09:46:11,-73.98341500000001,40.761844,-73.990414,40.756375,2.0,0.8469488763858891,2009,5,29,4,9,46
180,5.7,2010-07-15 19:09:01,-74.006055,40.733166,-74.002895,40.74553,1.0,1.4003548195689228,2010,7,15,3,19,9
181,8.1,2009-09-07 18:52:00,-73.952198,40.788107000000004,-73.980767,40.774995000000004,1.0,2.812800854023254,2009,9,7,0,18,52
182,6.1,2010-06-09 06:20:32,-74.008083,40.719238,-73.99831999999999,40.737977,1.0,2.240205838300698,2010,6,9,2,6,20
183,9.3,2012-04-15 17:02:44,-73.995636,40.746573,-73.984437,40.767145,1.0,2.474355928650126,2012,4,15,6,17,2
184,4.5,2013-02-06 14:52:00,-73.972072,40.755691999999996,-73.972082,40.755727,2.0,0.003981928384571843,2013,2,6,2,14,52
185,5.7,2011-12-13 05:56:00,-73.99049000000001,40.755982,-73.974202,40.75421,4.0,1.386030191148326,2011,12,13,1,5,56
186,16.5,2014-07-27 08:22:00,-73.95485,40.76542,-74.00751,40.73877,2.0,5.334579603872791,2014,7,27,6,8,22
187,17.0,2013-06-06 15:23:56,-73.954462,40.764046,-73.99459300000001,40.729271999999995,2.0,5.13618952753802,2013,6,6,3,15,23
189,6.1,2010-05-25 20:14:00,-74.005278,40.735298,-73.986698,40.729892,1.0,1.676979725349038,2010,5,25,1,20,14
190,6.0,2012-09-08 00:49:20,-74.004935,40.729625,-74.01615600000001,40.71741,1.0,1.6549922139058963,2012,9,8,5,0,49
191,6.5,2014-01-08 21:55:58,-73.998488,40.726303,-73.998488,40.726303,1.0,0.0,2014,1,8,2,21,55
193,4.5,2012-08-30 18:57:00,-73.9265,40.765577,-73.93789699999999,40.764509999999994,3.0,0.9671412534587744,2012,8,30,3,18,57
196,16.1,2010-01-12 17:11:00,-73.959222,40.763282000000004,-73.9633,40.716935,1.0,5.16499097311106,2010,1,12,1,17,11
197,15.7,2010-11-07 17:14:23,-73.97489499999999,40.751455,-73.98175400000001,40.783542,2.0,3.614367457947794,2010,11,7,6,17,14
199,5.5,2013-01-05 21:36:00,-73.989692,40.735496999999995,-73.982012,40.739391999999995,1.0,0.778635155803401,2013,1,5,5,21,36
200,6.0,2013-10-05 09:12:21,-74.00031,40.747961,-73.993636,40.757228999999995,1.0,1.1739196055710874,2013,10,5,5,9,12
201,7.7,2009-11-16 23:53:00,-74.00145,40.717487,-74.017455,40.709785,1.0,1.5978560957585966,2009,11,16,0,23,53
202,12.9,2011-04-05 11:29:00,-73.985185,40.72777,-73.98060500000001,40.759143,1.0,3.5097916391234194,2011,4,5,1,11,29
205,5.7,2011-01-14 18:10:00,-73.98637,40.74738,-73.975567,40.744572,2.0,0.9621440004400906,2011,1,14,4,18,10
206,5.3,2012-04-02 08:02:16,-73.948001,40.77854,-73.958566,40.778483,2.0,0.8896088205464474,2012,4,2,0,8,2
207,10.5,2010-02-10 08:57:54,-73.95410799999999,40.766901000000004,-73.984133,40.743475,1.0,3.630598925428893,2010,2,10,2,8,57
208,7.3,2011-05-31 22:21:01,-73.99400899999999,40.76144,-73.972811,40.792574,1.0,3.8950036956462597,2011,5,31,1,22,21
209,4.5,2011-09-26 09:32:42,-73.99533100000001,40.739986,-73.987655,40.736707,1.0,0.7424184600699985,2011,9,26,0,9,32
210,12.5,2012-10-23 08:09:25,-73.982332,40.768633,-73.983343,40.744372,1.0,2.699043793497895,2012,10,23,1,8,9
212,4.9,2012-07-31 19:20:00,-74.002707,40.72664,-73.991825,40.72722,2.0,0.9192543015662044,2012,7,31,1,19,20
213,4.1,2011-08-26 08:00:00,-73.990953,40.733067,-73.996235,40.725570000000005,1.0,0.9450040462690427,2011,8,26,4,8,0
214,15.5,2013-03-17 12:56:58,-73.985132,40.76853,-74.002285,40.730008000000005,1.0,4.520597601596181,2013,3,17,6,12,56
215,11.0,2015-05-25 15:11:09,-73.97221375,40.76557159,-73.97958374,40.73646927,1.0,3.295043053730809,2015,5,25,0,15,11
216,4.9,2009-04-08 19:11:10,-73.998287,40.72749,-73.98985400000001,40.735239,2.0,1.1168498901786619,2009,4,8,2,19,11
217,11.3,2009-06-06 01:57:52,-73.98019599999999,40.726966,-73.956413,40.77547,1.0,5.753458466381506,2009,6,6,5,1,57
219,14.9,2012-01-13 11:28:00,-73.955268,40.782767,-73.93238199999999,40.794812,6.0,2.3465153637423115,2012,1,13,4,11,28
221,6.1,2012-06-18 20:57:27,-73.98971999999999,40.75238,-74.007553,40.743196999999995,1.0,1.8164311290852626,2012,6,18,0,20,57
222,3.3,2010-02-23 09:49:00,-73.995802,40.749905,-73.99454300000001,40.750907,1.0,0.15382235032912447,2010,2,23,1,9,49
223,4.1,2012-01-06 07:05:08,-73.991863,40.754275,-73.983796,40.753213,1.0,0.6896895372851422,2012,1,6,4,7,5
224,12.0,2014-07-21 14:03:00,-73.973857,40.764185,-73.994435,40.750242,3.0,2.325481279747665,2014,7,21,0,14,3
225,9.0,2014-08-05 11:44:33,-73.991485,40.754599,-74.00497,40.751692999999996,1.0,1.180954987389794,2014,8,5,1,11,44
226,2.5,2012-03-29 03:51:00,-73.989142,40.720105,-73.988777,40.720662,1.0,0.06915355055539593,2012,3,29,3,3,51
227,8.9,2012-06-30 13:43:00,-73.98948,40.743287,-73.965692,40.754512,1.0,2.360807920609295,2012,6,30,5,13,43
228,10.5,2014-01-31 04:49:53,-73.97899100000001,40.72375,-73.96304599999999,40.711855,1.0,1.8855446124166855,2014,1,31,4,4,49
229,5.7,2010-11-16 19:40:00,-74.000552,40.727492,-74.005037,40.719122999999996,1.0,1.004414920030789,2010,11,16,1,19,40
230,7.0,2012-12-15 19:11:53,-74.002462,40.718762,-74.007071,40.705535999999995,2.0,1.5211057238338266,2012,12,15,5,19,11
231,12.0,2014-07-20 23:51:54,-73.98499699999999,40.768466,-73.944564,40.800466,1.0,4.924394326588032,2014,7,20,6,23,51
234,4.5,2012-08-18 18:33:00,-73.947035,40.776027,-73.95549799999999,40.764307,1.0,1.485348972340496,2012,8,18,5,18,33
235,7.3,2009-08-08 21:32:00,-73.977897,40.762802,-73.99153000000001,40.750252,5.0,1.8072057324666662,2009,8,8,5,21,32
236,5.3,2010-01-08 00:28:00,-73.986402,40.754723,-73.998898,40.739247999999996,1.0,2.0171966534586714,2010,1,8,4,0,28
237,6.9,2010-09-19 19:28:00,-73.967425,40.755712,-73.983035,40.734913,5.0,2.660471194584478,2010,9,19,6,19,28
238,9.3,2012-05-16 18:14:00,-73.971088,40.792648,-73.968405,40.769673,1.0,2.564671871207089,2012,5,16,2,18,14
239,6.7,2009-02-13 16:54:52,-73.95966899999999,40.779718,-73.976259,40.788413,1.0,1.6987581609597815,2009,2,13,4,16,54
241,9.0,2013-09-03 08:08:00,-73.98088,40.779967,-73.95374699999999,40.78777,1.0,2.4436709518915554,2013,9,3,1,8,8
242,13.0,2013-01-20 14:33:27,-74.008125,40.738935,-73.980522,40.759953,2.0,3.2967679528651774,2013,1,20,6,14,33
244,5.5,2013-09-09 22:12:59,-73.976474,40.765048,-73.964665,40.762986,1.0,1.0206370037291133,2013,9,9,0,22,12
245,8.1,2009-01-23 07:28:00,-73.99606800000001,40.732605,-73.980675,40.761862,1.0,3.502140461937641,2009,1,23,4,7,28
246,9.3,2011-02-18 13:19:49,-73.97321099999999,40.760752000000004,-73.974265,40.788281,1.0,3.0623715292616334,2011,2,18,4,13,19
247,18.0,2013-05-11 19:51:00,-73.997845,40.721235,-73.98825699999999,40.764125,1.0,4.837072124217292,2013,5,11,5,19,51
